account_id,snapshot_date,usage_count_last_1m,usage_duration_last_1m,error_count_last_1m,active_features_last_1m,usage_count_last_3m,usage_duration_last_3m,error_count_last_3m,active_features_last_3m,usage_count_last_6m,usage_duration_last_6m,error_count_last_6m,active_features_last_6m,usage_trend_3m,usage_trend_pct_3m,error_trend_3m,active_features_drop_3m
A-00bed1,2023-12-31,28,5019,0,3,75,14849,1,7,120,26232,4,11,4.5,0.05921052631578947,-0.5,-4
A-00cac8,2023-10-31,15,2895,1,2,78,21719,4,9,135,42307,7,12,-16.5,-0.2088607594936709,-0.5,-7
A-00cac8,2023-11-30,67,26292,0,6,105,38340,4,10,164,54115,6,14,48.0,0.4528301886792453,-2.0,-4
A-00cac8,2023-12-31,15,2190,0,1,97,31377,1,9,168,50673,6,14,-26.0,-0.2653061224489796,-0.5,-8
A-00cac8,2024-01-31,59,15449,2,6,141,43931,2,12,219,65650,6,18,18.0,0.1267605633802817,2.0,-6
A-00cac8,2024-02-29,21,2903,0,3,95,20542,2,9,200,58882,6,17,-16.0,-0.16666666666666666,-1.0,-6
A-00cac8,2024-03-31,17,1955,0,1,97,20307,2,9,194,51684,3,16,-23.0,-0.23469387755102042,-1.0,-8
A-00cac8,2024-04-30,26,5187,3,2,64,10045,3,6,205,53976,5,16,7.0,0.1076923076923077,3.0,-4
A-00cac8,2024-05-31,44,9237,3,3,87,16379,6,6,182,36921,8,13,22.5,0.2556818181818182,1.5,-3
A-00cac8,2024-06-30,25,6015,4,3,95,20439,10,8,192,40746,12,14,-10.0,-0.10416666666666667,1.0,-5
A-00cac8,2024-07-31,15,6295,0,2,84,21547,7,7,148,31592,10,11,-19.5,-0.22941176470588234,-3.5,-5
A-00cac8,2024-08-31,12,6936,2,1,52,19246,6,6,139,35625,12,11,-8.0,-0.1509433962264151,0.0,-5
A-00cac8,2024-09-30,14,7448,0,1,41,20679,2,4,136,41118,12,11,0.5,0.011904761904761904,-1.0,-3
A-00cac8,2024-10-31,19,3941,0,2,45,18325,2,4,129,39872,9,10,6.0,0.13043478260869565,-1.0,-2
A-00cac8,2024-12-31,28,6695,1,2,47,10636,1,4,88,31315,3,7,18.5,0.3854166666666667,1.0,-2
A-0158bb,2024-06-30,7,2324,0,1,7,2324,0,1,78,21757,9,7,7.0,0.875,0.0,0
A-0158bb,2024-07-31,16,3584,1,1,23,5908,1,1,74,19775,6,5,12.5,0.5208333333333334,1.0,0
A-0158bb,2024-08-31,19,4792,2,2,42,10700,3,3,83,20637,8,6,7.5,0.1744186046511628,1.5,-1
A-0158bb,2024-09-30,32,12905,1,4,67,21281,4,7,74,23605,4,7,14.5,0.21323529411764705,-0.5,-3
A-0158bb,2024-11-30,7,1463,0,1,39,14368,1,5,81,25068,4,7,-9.0,-0.225,-0.5,-4
A-0158bb,2024-12-31,18,4554,0,2,25,6017,0,3,92,27298,4,9,14.5,0.5576923076923077,0.0,-1
A-019782,2023-07-31,47,9154,1,4,90,21306,5,10,143,38317,8,15,25.5,0.2802197802197802,-1.0,-6
A-019782,2023-08-31,61,15198,1,4,138,32310,6,12,193,51128,9,18,22.5,0.1618705035971223,-1.5,-8
A-019782,2023-10-31,19,893,1,1,80,16091,2,5,170,37397,7,15,-11.5,-0.1419753086419753,0.5,-4
